2015-07-22|09:59:24|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:24|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:24|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:24|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:24|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|15:46:46|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|15:46:47|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|15:46:47|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|15:46:47|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|15:46:47|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|15:46:47|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|15:46:47|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|15:46:47|app\commands\StreamController|N/A|INFO|Data received 
